,AirTemp,DewPoint,RainPrecip,SnowPrecip,SnowPrecipAccumulated,WindSpeed,AirPressure,OctalCloudCoverage,PrecipAmount,station_id,road_cond,surf_temp,snow_amount,sub_temp,air_temp,dew_point,water_amount,snow_sum,forecast_length,stn_surf_temp,stn_dew_point,radiation,shade,surf_temp_sqerror,Date Time
3386,11.300000190734863,6.240525245666504,0.0,-0.0,0.0,5.199999809265137,102260.0,6.0,0.0,1433,Dry,10.229999542236328,0.0,3.9600000381469727,8.699999809265137,5.699999809265137,0.0,0.0,3,9.600000381469727,9.039999961853027,675.2559204101562,0.0,0.39689895510673523,09/29/2018 05:00:00
3386,11.899999618530273,7.019859313964844,0.0,-0.0,0.0,5.099999904632568,102220.0,8.0,0.0,1433,Dry,9.970000267028809,0.0,4.800000190734863,9.899999618530273,6.599999904632568,0.0,0.0,3,11.399999618530273,9.3100004196167,752.70166015625,0.0,2.04489803314209,09/29/2018 06:00:00
3386,11.600000381469727,6.1146440505981445,0.0,-0.0,0.0,6.0,102180.0,8.0,0.0,1433,Dry,11.3100004196167,0.0,9.770000457763672,10.899999618530273,5.699999809265137,0.0,0.0,3,13.5,8.84000015258789,790.310791015625,0.0,4.796098232269287,09/29/2018 07:00:00
3386,11.699999809265137,6.418643474578857,0.0,-0.0,0.0,6.5,102140.0,8.0,0.0,1433,Dry,13.710000038146973,0.0,9.289999961853027,11.800000190734863,7.800000190734863,0.0,0.0,3,14.699999809265137,8.279999732971191,802.0643920898438,0.0,0.9800995588302612,09/29/2018 08:00:00
3386,12.600000381469727,5.7525858879089355,0.0,-0.0,0.0,6.5,102090.0,6.0,0.0,1433,Dry,15.170000076293945,0.0,8.4399995803833,12.399999618530273,7.099999904632568,0.0,0.0,3,16.799999237060547,7.369999885559082,791.719482421875,0.0,2.6568973064422607,09/29/2018 09:00:00
3368,12.0,5.634182929992676,0.0,-0.0,0.0,6.400000095367432,101970.0,8.0,0.0,1433,Dry,14.010000228881836,0.0,7.599999904632568,12.199999809265137,7.0,0.0,0.0,3,16.799999237060547,7.179999828338623,755.9622192382812,0.0,7.784094333648682,09/29/2018 10:00:00
3368,12.199999809265137,4.675134658813477,0.0,-0.0,0.0,6.599999904632568,101870.0,8.0,0.0,1433,Dry,15.670000076293945,0.0,6.670000076293945,12.800000190734863,5.199999809265137,0.0,0.0,3,12.600000381469727,9.989999771118164,681.6296997070312,0.0,9.424898147583008,09/29/2018 11:00:00
3386,12.199999809265137,5.374189376831055,0.0,-0.0,0.0,6.800000190734863,101800.0,8.0,0.0,1433,Dry,14.300000190734863,0.0,5.53000020980835,12.399999618530273,6.199999809265137,0.0,0.0,3,12.0,6.840000152587891,532.4869995117188,0.0,5.290000915527344,09/29/2018 12:00:00
3368,12.0,6.285658836364746,0.0,-0.0,0.0,7.099999904632568,101700.0,8.0,0.0,1433,Dry,12.829999923706055,0.0,4.539999961853027,12.300000190734863,7.699999809265137,0.0,0.0,3,10.899999618530273,8.329999923706055,212.2911376953125,1.0,3.7249011993408203,09/29/2018 13:00:00
3350,12.0,5.854233264923096,0.0,-0.0,0.0,7.199999809265137,101600.0,8.0,0.0,1433,Dry,10.960000038146973,0.0,3.549999952316284,11.600000381469727,8.399999618530273,0.0,0.0,3,10.699999809265137,8.3100004196167,0.0,1.0,0.06760011613368988,09/29/2018 14:00:00
3368,11.899999618530273,5.7591023445129395,0.0,-0.0,0.0,7.199999809265137,101530.0,8.0,0.0,1433,Dry,10.199999809265137,0.0,2.819999933242798,11.899999618530273,7.0,0.0,0.0,3,10.699999809265137,8.40999984741211,0.0,1.0,0.25,09/29/2018 15:00:00
3368,11.699999809265137,6.2102837562561035,0.0,-0.0,0.0,7.199999809265137,101510.0,8.0,0.0,1433,Dry,10.109999656677246,0.0,2.640000104904175,11.699999809265137,7.199999809265137,0.0,0.0,3,10.800000190734863,7.679999828338623,0.0,1.0,0.47610074281692505,09/29/2018 16:00:00
3368,11.300000190734863,6.240525245666504,0.0,0.0,0.0,7.0,101480.0,8.0,0.0,1433,Dry,10.289999961853027,0.0,6.300000190734863,11.399999618530273,7.0,0.0,0.0,3,10.800000190734863,6.610000133514404,0.0,1.0,0.26010024547576904,09/29/2018 17:00:00
3368,11.0,6.354341983795166,0.10000000149011612,0.0,0.0,6.400000095367432,101440.0,8.0,0.10000000149011612,1433,Dry,10.270000457763672,0.0,6.550000190734863,11.300000190734863,7.400000095367432,0.0010000000474974513,0.0,3,10.300000190734863,8.380000114440918,0.0,1.0,0.0008999839774332941,09/29/2018 18:00:00
3368,10.800000190734863,6.161753177642822,0.0,0.0,0.0,6.599999904632568,101370.0,8.0,0.0,1433,Dry,10.15999984741211,0.0,6.550000190734863,11.100000381469727,6.5,0.0,0.0,3,10.5,6.760000228881836,0.0,1.0,0.1156001016497612,09/29/2018 19:00:00
3368,10.5,7.201234340667725,0.0,0.0,0.0,6.400000095367432,101320.0,8.0,0.0,1433,Dry,10.279999732971191,0.0,6.420000076293945,10.899999618530273,7.300000190734863,0.0,0.0,3,10.399999618530273,6.409999847412109,0.0,1.0,0.01439997274428606,09/29/2018 20:00:00
